0	ホワァイ？
1	オーライオーライ、オマエトスケベシタイデース
2	決まりだね
3	Oh！　タノシミデース！！
4	オチンポ ドキドキ サイクロンネ！
5	じゃあ、そこのテトラの影で
6	Foo コンバット オープン！
7	アイム ジュンビ ビンビンデース
8	「Oｈ……オチンポ
9	オカシクナルゥゥゥウ」
10	「オマエノ
11	フェラチオサイコウデース」
12	「オクマデグッポリサイコウデース」
13	「Oh……イエェア」
14	「ヌルヌルオクチマンコサイコウデース」
15	「カモーンカモンガール」
16	「ぢゅぷっ…っ！！ぢゅっぷぷっ！！
17	「ヌホホホホッ」
18	「ンギモヂイイイイ」
19	「アオンアオンアオーン」
20	え…これだけ……？
21	ぺっ！！！
22	すくなっ…
23	オーケーオーケー
24	オマエワイイカラサンマンエンアゲルヨー
25	ほんと？ありがと
26	なんか喋り方むかつくけどラッキー
27	気持ちよかった？
28	サイコウ トンガリコーンネ
29	またお口でして欲しかったら\nお金準備しててね
30	コンドハオマンコサセロヨ
31	………（無視
32	オカシクナナルゥゥゥウ」
33	回想実行イベント保管
34	アナタノオカゲデ ムラムラデス
35	オーライオーライ、スケベシタイデース
36	「ジライガールノ
37	不健康そうな味……かな
38	ありがと
39	イエス イエス イエス！！
